Landcode;Levensnummer;Werknummer;Geboortedatum;Haarkleur;Geslacht;Landcode_moeder;Levensnummer_moeder;Aanvoer;Afvoer;UBN
NL;888749695;4969;08-01-2024;Zwartbont;M;NL;668144120;11-04-2024;;6259491
NL;888749703;4970;08-01-2024;Zwartbont;M;NL;697545352;11-04-2024;;6259491
NL;724349797;4979;14-02-2024;Roodbont;M;NL;609744822;08-05-2024;;6259491
NL;720149939;4993;14-05-2024;Zwartbont;M;NL;590944849;09-08-2024;;6259491
LU;118445001;5001;30-03-2024;Zwartbont;M;;;24-06-2024;;6259491
NL;614250125;5012;11-02-2024;Zwartbont;M;NL;673941682;08-05-2024;;6259491
NL;925950125;5012;15-05-2024;Zwartbont;M;NL;873748980;09-08-2024;;6259491
LU;118445015;5015;12-05-2024;Zwartbont;M;;;16-08-2024;;6259491
NL;734750372;5037;15-05-2024;Zwartbont;M;NL;688114864;09-08-2024;;6259491
BE;217905040;5040;31-03-2024;Zwartbont;M;BE;517393303;24-06-2024;;6259491
BE;018045043;5043;25-03-2024;Zwartbont;M;BE;014774505;24-06-2024;;6259491
BE;118025044;5044;10-02-2024;Zwart-wit;M;BE;614522104;08-05-2024;;6259491
BE;918045044;5044;25-03-2024;Zwartbont;M;BE;014774522;24-06-2024;;6259491
BE;318045047;5047;20-03-2024;Zwartbont;M;BE;114064348;24-06-2024;;6259491
BE;118045048;5048;18-03-2024;Zwartbont;M;BE;214064275;24-06-2024;;6259491
LU;118435052;5052;30-03-2024;Zwartbont;M;;;24-06-2024;;6259491
NL;606750585;5058;12-02-2024;Zwartbont;M;NL;587147961;08-05-2024;;6259491
NL;542850598;5059;08-02-2024;Roodbont;M;NL;666238654;08-05-2024;;6259491
LU;118475065;5065;25-03-2024;Roodbont;M;;;24-06-2024;;6259491
LU;518475076;5076;02-05-2024;Zwartbont;M;;;09-08-2024;;6259491
LU;218495077;5077;07-05-2024;Zwartbont;M;;;09-08-2024;;6259491
BE;818125081;5081;03-01-2024;Roodbont;M;BE;515294810;11-04-2024;;6259491
LU;518495084;5084;15-05-2024;Zwartbont;M;;;09-08-2024;;6259491
